800,450,100,900,550,200,1000,650,300,750,400,50,850,500,150,950,600,250,700,350,
1012,795,365,1299,888,481,1391,1076,638,1118,691,498,1156,826,368,1277,1005,541,1170,619,
227055,72143,6969,272388,97210,18264,317983,140604,39333,190033,59428,2998,315379,77954,12278,272903,117778,45041,173190,50141,
85322,28379,2070,113597,45877,6152,160990,67775,12958,74895,26615,1303,94428,38975,11222,141396,92004,9142,73336,21886,
83453,49997,6579,130750,63948,18545,114506,85107,31367,79951,39745,8428,112206,58229,16079,113779,66256,26726,80699,37165,
116560,45903,3662,127242,50874,12424,197458,72699,19479,92832,27514,1885,128122,50565,8087,152692,61290,11999,97419,20996,
