290,580,261,551,232,522,203,493,174,464,145,435,116,406,87,377,58,348,29,319,
500,799,551,732,423,576,551,436,429,482,395,604,354,618,354,554,325,541,553,561,
28910,89124,23817,61360,32913,61924,15201,52991,12729,46831,7808,54065,3857,31906,2756,52748,1827,39853,1158,20130,
21160,79297,18041,66638,7875,62181,6220,46127,4885,36186,3941,48590,4902,27930,3027,31143,2182,29117,957,19485,
31112,60840,24174,55421,29513,69480,24016,51508,22352,43701,18164,53383,15784,62984,11291,44120,5348,31327,8563,30039,
23470,107244,19022,99292,18090,77452,22054,103201,20945,62308,6189,69210,4302,71154,3184,44199,1773,37094,769,26859,
